month,airline_id,unique_carrier,carrier,carrier_name,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
9,20397.0,OH,OH,PSA Airlines Inc.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
9,20304.0,OO,OO,SkyWest Airlines Inc.,3,5250159.0,0.0,0.0,0.0,0.0,5250159.0,5250159.0,0.0,5250159.0,9365705.0,0.0,0.0,0.0,0.0,9365705.0,9365705.0,0.0,9365705.0,2015
9,20177.0,PFQ,PFQ,Asia Pacific,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283640.0,283640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627632.0,627632.0,2015
9,20100.0,PO,PO,Polar Air Cargo Airways,3,2676198.0,614214.0,11235729.0,0.0,11849943.0,14526141.0,2676198.0,11849943.0,14526141.0,4249582.0,1216455.0,16449482.0,0.0,17665937.0,21915519.0,4249582.0,17665937.0,21915519.0,2015
9,20149.0,PRQ,PRQ,Florida West Airlines Inc.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
9,19687.0,QX,QX,Horizon Air,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
9,20448.0,S5,S5,Shuttle America Corp.,2,6363950.0,0.0,0.0,0.0,0.0,6363950.0,6363950.0,0.0,6363950.0,9208147.0,0.0,0.0,0.0,0.0,9208147.0,9208147.0,0.0,9208147.0,2015
9,20422.0,SY,SY,Sun Country Airlines d/b/a MN Airlines,2,2715339.0,0.0,0.0,131539.0,131539.0,2846878.0,3236172.0,263248.0,3499420.0,4363140.0,0.0,0.0,222763.0,222763.0,4585903.0,5981104.0,445062.0,6426166.0,2015
9,20447.0,U7,U7,USA Jet Airlines Inc.,2,0.0,0.0,0.0,0.0,0.0,0.0,620730.0,13541.0,634271.0,0.0,0.0,0.0,0.0,0.0,0.0,988066.0,27196.0,1015262.0,2015
9,19977.0,UA,UA,United Air Lines Inc.,3,116786479.0,69353181.0,55777593.0,18453888.0,143584662.0,260371141.0,118074789.0,144094558.0,262169347.0,171612009.0,103955328.0,83580600.0,28434448.0,215970376.0,387582385.0,174087571.0,216729919.0,390817490.0,2015
9,21171.0,VX,VX,Virgin America,3,13673890.0,0.0,0.0,118773.0,118773.0,13792663.0,13737167.0,118773.0,13855940.0,22030086.0,0.0,0.0,191189.0,191189.0,22221275.0,22139973.0,191189.0,22331162.0,2015
9,20308.0,WE,WE,Centurion Cargo Inc.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694383.0,694383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1098608.0,1098608.0,2015
9,20195.0,WI,WI,Sky Lease Cargo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
9,20287.0,WP,WP,Island Air Hawaii,1,95750.0,0.0,0.0,0.0,0.0,95750.0,95750.0,0.0,95750.0,157122.0,0.0,0.0,0.0,0.0,157122.0,157122.0,0.0,157122.0,2015
9,20377.0,X9,X9,Omni Air Express,2,0.0,0.0,0.0,0.0,0.0,0.0,347283.0,2634262.0,2981545.0,0.0,0.0,0.0,0.0,0.0,0.0,603415.0,9247405.0,9850820.0,2015
9,20207.0,XP,XP,XTRA Airways,1,0.0,0.0,0.0,0.0,0.0,0.0,112156.0,113183.0,225339.0,0.0,0.0,0.0,0.0,0.0,0.0,242103.0,244320.0,486423.0,2015
9,20378.0,YV,YV,Mesa Airlines Inc.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
9,20452.0,YX,YX,Republic Airlines,2,13330049.0,0.0,0.0,0.0,0.0,13330049.0,13330049.0,0.0,13330049.0,19660939.0,0.0,0.0,0.0,0.0,19660939.0,19660939.0,0.0,19660939.0,2015
9,20046.0,ZW,ZW,Air Wisconsin Airlines Corp,2,6636047.0,0.0,0.0,0.0,0.0,6636047.0,6636047.0,0.0,6636047.0,10897010.0,0.0,0.0,0.0,0.0,10897010.0,10897010.0,0.0,10897010.0,2015
9,19393.0,WN,WN,Southwest Airlines Co.,3,150235332.0,0.0,0.0,609308.0,609308.0,150844640.0,150538427.0,609308.0,151147735.0,259602871.0,0.0,0.0,1104824.0,1104824.0,260707695.0,260093262.0,1104824.0,261198086.0,2015
10,21352.0,0WQ,0WQ,Avjet Corporation,1,0.0,0.0,0.0,0.0,0.0,0.0,141842.0,13388.0,155230.0,0.0,0.0,0.0,0.0,0.0,0.0,441129.0,34541.0,475670.0,2015
10,21645.0,23Q,23Q,Songbird Airways Inc.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
10,21652.0,27Q,27Q,"Jet Aviation Flight Services, Inc.",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
10,20408.0,5V,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,355064.0,0.0,0.0,0.0,0.0,355064.0,440269.0,0.0,440269.0,831528.0,0.0,0.0,0.0,0.0,831528.0,1031071.0,0.0,1031071.0,2015
10,19917.0,5X,5X,United Parcel Service,3,33826000.0,10290000.0,16521000.0,3080000.0,29891000.0,63717000.0,33826000.0,29891000.0,63717000.0,50319000.0,13508000.0,23889000.0,4880000.0,42277000.0,92596000.0,50319000.0,42277000.0,92596000.0,2015
10,20007.0,5Y,5Y,Atlas Air Inc.,3,0.0,0.0,0.0,0.0,0.0,0.0,5507677.0,25933189.0,31440866.0,0.0,0.0,0.0,0.0,0.0,0.0,11575198.0,54239149.0,65814347.0,2015
10,19874.0,8C,8C,Air Transport International,2,0.0,0.0,0.0,0.0,0.0,0.0,26362.0,892003.0,918365.0,0.0,0.0,0.0,0.0,0.0,0.0,54396.0,2439258.0,2493654.0,2015
10,20363.0,9E,9E,Endeavor Air Inc.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
10,20190.0,9S,9S,Southern Air Inc.,2,580339.0,4954307.0,852749.0,0.0,5807056.0,6387395.0,580339.0,5807056.0,6387395.0,2100827.0,17934591.0,3086951.0,0.0,21021542.0,23122369.0,2100827.0,21021542.0,23122369.0,2015
10,19805.0,AA,AA,American Airlines Inc.,3,181467846.0,54484651.0,18142050.0,43850601.0,116477302.0,297945148.0,182248475.0,116567765.0,298816240.0,268987608.0,75897693.0,25174008.0,70236839.0,171308540.0,440296148.0,270111807.0,171447419.0,441559226.0,2015
10,20453.0,ABX,ABX,ABX Air Inc,2,38448.0,0.0,0.0,0.0,0.0,38448.0,38448.0,0.0,38448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
10,19930.0,AS,AS,Alaska Airlines Inc.,3,35670427.0,0.0,0.0,691675.0,691675.0,36362102.0,35773954.0,691675.0,36465629.0,60025510.0,0.0,0.0,1146415.0,1146415.0,61171925.0,60179138.0,1146415.0,61325553.0,2015
10,20409.0,B6,B6,JetBlue Airways,3,46746414.0,0.0,0.0,9825080.0,9825080.0,56571494.0,46849602.0,9874028.0,56723630.0,81481942.0,0.0,0.0,17125733.0,17125733.0,98607675.0,81760207.0,17247494.0,99007701.0,2015
10,21167.0,CP,CP,Compass Airlines,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
10,19790.0,DL,DL,Delta Air Lines Inc.,3,147658495.0,67303159.0,38859432.0,21293053.0,127455644.0,275114139.0,149249455.0,128211412.0,277460867.0,303123407.0,138164506.0,79773287.0,43711827.0,261649620.0,564773027.0,307188806.0,263201111.0,570389917.0,2015
10,21650.0,EE,EE,Eastern Airlines Group Inc.,1,0.0,0.0,0.0,0.0,0.0,0.0,80320.0,114960.0,195280.0,0.0,0.0,0.0,0.0,0.0,0.0,142970.0,204629.0,347599.0,2015
